name
Aruba
Afghanistan
Angola
Anguilla
Albania
Aland Islands
Andorra
United Arab Emirates
Argentina
Armenia
American Samoa
Antarctica
Ashmore and Cartier Islands
French Southern and Antarctic Lands
Antigua and Barbuda
Australia
Austria
Azerbaijan
Burundi
Belgium
Benin
Burkina Faso
Bangladesh
Bulgaria
Bahrain
Bahamas
Bosnia and Herzegovina
Saint-Barthélemy
Belarus
Belize
Bermuda
Bolivia
Brazil
Barbados
Brunei Darussalam
Bhutan
Botswana
Central African Republic
Canada
Switzerland
Chile
China
Côte d'Ivoire
Cameroon
Democratic Republic of the Congo
Republic of Congo
Cook Islands
Colombia
Comoros
Cape Verde
Costa Rica
Cuba
Curaçao
Cayman Islands
Northern Cyprus
Cyprus
Czech Republic
Germany
Djibouti
Dominica
Denmark
Dominican Republic
Algeria
Ecuador
Egypt
Eritrea
Spain
Estonia
Ethiopia
Finland
Fiji
Falkland Islands
France
Faeroe Islands
Federated States of Micronesia
Gabon
United Kingdom
Georgia
Guernsey
Ghana
Guinea
The Gambia
Guinea-Bissau
Equatorial Guinea
Greece
Grenada
Greenland
Guatemala
Guam
Guyana
Hong Kong
Heard I. and McDonald Islands
Honduras
Croatia
Haiti
Hungary
Indonesia
Isle of Man
India
Indian Ocean Territories
British Indian Ocean Territory
Ireland
Iran
Iraq
Iceland
Israel
Italy
Jamaica
Jersey
Jordan
Japan
Siachen Glacier
Kazakhstan
Kenya
Kyrgyzstan
Cambodia
Kiribati
Saint Kitts and Nevis
Republic of Korea
Kosovo
Kuwait
Lao PDR
Lebanon
Liberia
Libya
Saint Lucia
Liechtenstein
Sri Lanka
Lesotho
Lithuania
Luxembourg
Latvia
Macao
Saint-Martin
Morocco
Monaco
Moldova
Madagascar
Maldives
Mexico
Marshall Islands
Macedonia
Mali
Malta
Myanmar
Montenegro
Mongolia
Northern Mariana Islands
Mozambique
Mauritania
Montserrat
Mauritius
Malawi
Malaysia
Namibia
New Caledonia
Niger
Norfolk Island
Nigeria
Nicaragua
Niue
Netherlands
Norway
Nepal
Nauru
New Zealand
Oman
Pakistan
Panama
Pitcairn Islands
Peru
Philippines
Palau
Papua New Guinea
Poland
Puerto Rico
Dem. Rep. Korea
Portugal
Paraguay
Palestine
French Polynesia
Qatar
Romania
Russian Federation
Rwanda
Western Sahara
Saudi Arabia
Sudan
South Sudan
Senegal
Singapore
South Georgia and South Sandwich Islands
Saint Helena
Solomon Islands
Sierra Leone
El Salvador
San Marino
Somaliland
Somalia
Saint Pierre and Miquelon
Serbia
São Tomé and Principe
Suriname
Slovakia
Slovenia
Sweden
Swaziland
Sint Maarten
Seychelles
Syria
Turks and Caicos Islands
Chad
Togo
Thailand
Tajikistan
Turkmenistan
Timor-Leste
Tonga
Trinidad and Tobago
Tunisia
Turkey
Taiwan
Tanzania
Uganda
Ukraine
Uruguay
United States
Uzbekistan
Vatican
Saint Vincent and the Grenadines
Venezuela
British Virgin Islands
United States Virgin Islands
Vietnam
Vanuatu
Wallis and Futuna Islands
Samoa
Yemen
South Africa
Zambia
Zimbabwe
