id,bib
728,Stuart2017
140,Supervie2011
771,Tan2018
299,Terris-Prestholt2014
97,Thomas2010
1036,Twumasi2019
1362,vanSchalkwyk2019
1039,vanVliet2019
1152,Vardavas2007
780,Ventelou2012
838,Verguet2013
58,Vickerman2010
433,Vickerman2006
438,Vickerman2006b
435,Vickerman2006a
837,vandeVijver2013
869,Viljoen2014
166,Vissers2011
540,Vissers2008
698,Volz2017
1230,vonWyl2012
236,Wagner2012
799,Wagner2013
473,White2007
513,White2008a
504,White2008
400,White2004
156,Williams2011
890,Williams2010
717,Williams2017
468,Williams2006
286,Williams2014
1149,Wilson2006
295,Wirtz2014
819,Wirtz2013
1380,Woods2018
1104,Ying2016
360,Ying2015
220,Yusuf2012
639,Zhao2016
